year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party_detailed,writein,candidatevotes,totalvotes,version,notes,party_simplified
2020,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,True,317323,344356,20210113,,DEMOCRAT
2020,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,True,18586,344356,20210113,,REPUBLICAN
2020,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,True,2036,344356,20210113,,LIBERTARIAN
2020,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,"HAWKINS, HOWIE",DC STATEHOOD GREEN,True,1726,344356,20210113,,OTHER
2020,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,"LA RIVA, GLORIA ESTELLA",INDEPENDENT,True,855,344356,20210113,,OTHER
2020,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,,,True,3137,344356,20210113,,OTHER
2020,DISTRICT OF COLUMBIA,DC,11,53,55,US PRESIDENT,"PIERCE, BROCK",INDEPENDENT,False,693,344356,20210113,,OTHER
