year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party_detailed,writein,candidatevotes,totalvotes,version,notes,party_simplified
2020,VIRGINIA,VA,51,54,40,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,False,2413568,4460524,20210113,,DEMOCRAT
2020,VIRGINIA,VA,51,54,40,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,1962430,4460524,20210113,,REPUBLICAN
2020,VIRGINIA,VA,51,54,40,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,False,64761,4460524,20210113,,LIBERTARIAN
2020,VIRGINIA,VA,51,54,40,US PRESIDENT,,,True,19765,4460524,20210113,,OTHER
