year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party_detailed,writein,candidatevotes,totalvotes,version,notes,party_simplified
2020,ALASKA,AK,2,94,81,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,False,153778,359530,20210113,,DEMOCRAT
2020,ALASKA,AK,2,94,81,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,189951,359530,20210113,,REPUBLICAN
2020,ALASKA,AK,2,94,81,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,False,8897,359530,20210113,,LIBERTARIAN
2020,ALASKA,AK,2,94,81,US PRESIDENT,"DE LA FUENTE, ROQUE """"ROCKY""""",ALLIANCE,False,318,359530,20210113,,OTHER
2020,ALASKA,AK,2,94,81,US PRESIDENT,"PIERCE, BROCK",INDEPENDENT,False,825,359530,20210113,,OTHER
2020,ALASKA,AK,2,94,81,US PRESIDENT,"JANOS, JAMES G. ""JESSE VENTURA""",GREEN,False,2673,359530,20210113,,OTHER
2020,ALASKA,AK,2,94,81,US PRESIDENT,"BLANKENSHIP, DON",CONSTITUTION PARTY,False,1127,359530,20210113,,OTHER
2020,ALASKA,AK,2,94,81,US PRESIDENT,,,True,1961,359530,20210113,,OTHER
