year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party_detailed,writein,candidatevotes,totalvotes,version,notes,party_simplified
2020,HAWAII,HI,15,95,82,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,False,366130,579784,20210113,,DEMOCRAT
2020,HAWAII,HI,15,95,82,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,196864,579784,20210113,,REPUBLICAN
2020,HAWAII,HI,15,95,82,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,False,5539,579784,20210113,,LIBERTARIAN
2020,HAWAII,HI,15,95,82,US PRESIDENT,"HAWKINS, HOWIE",GREEN,False,3822,579784,20210113,,OTHER
2020,HAWAII,HI,15,95,82,US PRESIDENT,"PIERCE, BROCK",AMERICAN SHOPPING PARTY,False,1183,579784,20210113,,OTHER
2020,HAWAII,HI,15,95,82,US PRESIDENT,"BLANKENSHIP, DON",CONSTITUTION PARTY,False,931,579784,20210113,,OTHER
2020,HAWAII,HI,15,95,82,US PRESIDENT,BLANK VOTES,,False,4927,579784,20210113,,OTHER
2020,HAWAII,HI,15,95,82,US PRESIDENT,OVERVOTES,,False,388,579784,20210113,,OTHER
