year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party_detailed,writein,candidatevotes,totalvotes,version,notes,party_simplified
2020,ARIZONA,AZ,4,86,61,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,False,1672143,3387326,20210113,,DEMOCRAT
2020,ARIZONA,AZ,4,86,61,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,1661686,3387326,20210113,,REPUBLICAN
2020,ARIZONA,AZ,4,86,61,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,False,51465,3387326,20210113,,LIBERTARIAN
2020,ARIZONA,AZ,4,86,61,US PRESIDENT,"LA RIVA, GLORIA ESTELLA",PARTY FOR SOCIALISM AND LIBERATION,True,190,3387326,20210113,,OTHER
2020,ARIZONA,AZ,4,86,61,US PRESIDENT,"CUMMINGS, DANIEL CLYDE",CONSTITUTION PARTY,True,36,3387326,20210113,,OTHER
2020,ARIZONA,AZ,4,86,61,US PRESIDENT,"SIMMONS, JADE",INDEPENDENT,True,236,3387326,20210113,,OTHER
2020,ARIZONA,AZ,4,86,61,US PRESIDENT,"BODDIE, R. PRESIDENT",INDEPENDENT,True,13,3387326,20210113,,OTHER
2020,ARIZONA,AZ,4,86,61,US PRESIDENT,"HAWKINS, HOWIE",GREEN,True,1557,3387326,20210113,,OTHER
