year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party_detailed,writein,candidatevotes,totalvotes,version,notes,party_simplified
2020,MAINE,ME,23,11,2,US PRESIDENT,"BIDEN, JOSEPH R. JR",DEMOCRAT,False,435072,828305,20210113,,DEMOCRAT
2020,MAINE,ME,23,11,2,US PRESIDENT,"JORGENSEN, JO",LIBERTARIAN,False,14152,828305,20210113,,LIBERTARIAN
2020,MAINE,ME,23,11,2,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,360737,828305,20210113,,REPUBLICAN
2020,MAINE,ME,23,11,2,US PRESIDENT,"HAWKINS, HOWIE",GREEN,False,8230,828305,20210113,,OTHER
2020,MAINE,ME,23,11,2,US PRESIDENT,"DE LA FUENTE, ROQUE """"ROCKY""""",ALLIANCE,False,1183,828305,20210113,,OTHER
2020,MAINE,ME,23,11,2,US PRESIDENT,,,True,87,828305,20210113,,OTHER
2020,MAINE,ME,23,11,2,US PRESIDENT,BLANK VOTES,,False,8844,828305,20210113,,OTHER
